"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ARM","Armenia","T-ACCI-KIL","Road fatalities (30 days)","2011","2011","PER","Persons","0","Units",,,327,"E","Estimated value"
"ARM","Armenia","T-ACCI-KIL","Road fatalities (30 days)","2012","2012","PER","Persons","0","Units",,,311,"E","Estimated value"
"ARM","Armenia","T-ACCI-KIL","Road fatalities (30 days)","2013","2013","PER","Persons","0","Units",,,316,"E","Estimated value"
"ARM","Armenia","T-ACCI-KIL","Road fatalities (30 days)","2014","2014","PER","Persons","0","Units",,,297,,
"ARM","Armenia","T-ACCI-KIL","Road fatalities (30 days)","2015","2015","PER","Persons","0","Units",,,346,,
"ARM","Armenia","T-ACCI-KIL","Road fatalities (30 days)","2016","2016","PER","Persons","0","Units",,,267,,
"ARM","Armenia","T-ACCI-KIL","Road fatalities (30 days)","2017","2017","PER","Persons","0","Units",,,279,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2000","2000","PER","Persons","0","Units",,,153,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2001","2001","PER","Persons","0","Units",,,169,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2002","2002","PER","Persons","0","Units",,,138,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2003","2003","PER","Persons","0","Units",,,147,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2004","2004","PER","Persons","0","Units",,,123,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2005","2005","PER","Persons","0","Units",,,109,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2006","2006","PER","Persons","0","Units",,,97,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2007","2007","PER","Persons","0","Units",,,116,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2008","2008","PER","Persons","0","Units",,,109,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2009","2009","PER","Persons","0","Units",,,111,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2010","2010","PER","Persons","0","Units",,,114,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2011","2011","PER","Persons","0","Units",,,105,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2012","2012","PER","Persons","0","Units",,,108,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2013","2013","PER","Persons","0","Units",,,111,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2014","2014","PER","Persons","0","Units",,,98,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2015","2015","PER","Persons","0","Units",,,111,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2016","2016","PER","Persons","0","Units",,,105,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2017","2017","PER","Persons","0","Units",,,87,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2018","2018","PER","Persons","0","Units",,,121,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2019","2019","PER","Persons","0","Units",,,103,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2020","2020","PER","Persons","0","Units",,,109,,
"LIE","Liechtenstein","T-ACCI-INJ","Road injured","2021","2021","PER","Persons","0","Units",,,70,,
"KOR","Korea","T-ACCI-INJ","Road injured","2000","2000","PER","Persons","0","Units",,,426984,,
"KOR","Korea","T-ACCI-INJ","Road injured","2001","2001","PER","Persons","0","Units",,,386539,,
"KOR","Korea","T-ACCI-INJ","Road injured","2002","2002","PER","Persons","0","Units",,,348149,,
"KOR","Korea","T-ACCI-INJ","Road injured","2003","2003","PER","Persons","0","Units",,,376503,,
"KOR","Korea","T-ACCI-INJ","Road injured","2004","2004","PER","Persons","0","Units",,,346987,,
"KOR","Korea","T-ACCI-INJ","Road injured","2005","2005","PER","Persons","0","Units",,,342233,,
"KOR","Korea","T-ACCI-INJ","Road injured","2006","2006","PER","Persons","0","Units",,,340229,,
